name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
PhilyT/nfcProject,208,208,114,50,74,5,4.783783783783784,2.7837837837837838,40,7.7,4.0,1.6081081081081081,1.2837837837837838,2.05,1.45
UnB-DAS/gepetohut,191,191,158,10,238,4,2.8361344537815127,2.3361344537815127,52,6.923076923076923,4.634615384615385,1.3445378151260505,1.3109243697478992,2.1153846153846154,1.9615384615384615
hainn8x/pybombs,227,223,72,68,210,31,2.2142857142857144,1.6142857142857143,51,5.392156862745098,2.9215686274509802,1.6142857142857143,1.3904761904761904,3.411764705882353,2.4901960784313726
shovon/generator-private-variables,5,5,5,0,5,1,2.6,2.6,0,0.0,0.0,1.0,1.0,NaN,NaN
her13197/HDT3,24,24,15,1,22,4,4.090909090909091,3.5,10,6.4,5.1,1.9545454545454546,1.9090909090909092,2.6,2.5
adamfranco/harmoni,2207,2117,2036,15,991,20,8.462159434914229,8.302724520686176,35,38.02857142857143,33.51428571428571,2.032290615539859,2.029263370332997,2.8285714285714287,2.742857142857143
mrkanag/heat_monasca,16,16,10,8,11,1,2.272727272727273,1.6363636363636365,5,3.8,2.4,1.0,1.0,1.0,1.0
jennguam/travelmap,9,9,7,1,3,1,4.0,4.0,0,0.0,0.0,1.0,1.0,NaN,NaN
atom1262/reading-list,15,15,15,0,89,1,1.404494382022472,1.404494382022472,0,0.0,0.0,1.0,1.0,NaN,NaN
nagchi/smartthings,8,8,8,0,3,2,2.6666666666666665,2.6666666666666665,0,0.0,0.0,1.0,1.0,NaN,NaN
