name,nReviews,nDiffReviews,mrrL,mrrF,top1L,top1F,top2L,top2F,top3L,top3F,top5L,top5F,top10L,top10F,cprL,cprF,diff_mrrL,diff_mrrF,diff_top1L,diff_top1F,diff_top2L,diff_top2F,diff_top3L,diff_top3F,diff_top5L,diff_top5F,diff_top10L,diff_top10F,diff_cprL,diff_cprF
openstack/trove-dashboard,57,49,0.0386661097187413,0.028887827572038095,0.03603453077137287,0.022584238373712054,0.039543302701197436,0.02550821498189919,0.039543302701197436,0.03603453077137287,0.043052074631022,0.039543302701197436,0.043052074631022,0.039543302701197436,12.228070175438596,18.596491228070175,0.037981859410430835,0.026607123035694465,0.03492063492063492,0.01927437641723356,0.03900226757369614,0.022675736961451247,0.03900226757369614,0.03492063492063492,0.043083900226757364,0.03900226757369614,0.043083900226757364,0.03900226757369614,13.285714285714286,20.693877551020407
openstack/networking-bgpvpn,227,213,0.11352111952332217,0.12258256461417903,0.04881127193902524,0.03778057478498007,0.12565904482204038,0.14970456611425767,0.18382630585273754,0.20365009439899306,0.20401720159429412,0.23465841549541994,0.21723306062513115,0.2548493112369766,17.823788546255507,31.312775330396477,0.11941765633080188,0.12907468936190286,0.050454579327818765,0.038698859825620394,0.1323533795364781,0.15797935762724488,0.19434384082271405,0.21547060138609436,0.2158618376928236,0.24851702809449294,0.22994634473507716,0.2700350249646025,18.784037558685448,33.159624413145536
openstack/nova-lxd,92,84,0.045222135955831605,0.040714177881297456,0.006340579710144927,0.006340579710144927,0.01539855072463768,0.011775362318840578,0.034420289855072464,0.026268115942028984,0.09492753623188405,0.08097826086956521,0.1865942028985507,0.186231884057971,40.27173913043478,108.27173913043478,0.04357662509448225,0.03863933767951626,0.003968253968253968,0.003968253968253968,0.007936507936507936,0.003968253968253968,0.028769841269841268,0.01984126984126984,0.09503968253968254,0.07976190476190476,0.1954365079365079,0.19503968253968254,43.86904761904762,118.3452380952381
openstack/python-ironic-inspector-client,86,68,0.09794573643410855,0.13231589147286824,0.009689922480620155,0.0067829457364341076,0.11240310077519379,0.1322674418604651,0.19263565891472864,0.2221899224806201,0.2317829457364341,0.31269379844961237,0.23468992248062015,0.3886627906976744,24.441860465116278,29.488372093023255,0.11897058823529415,0.16243872549019608,0.007352941176470588,0.003676470588235294,0.1372549019607843,0.16237745098039214,0.2387254901960784,0.27610294117647055,0.28823529411764703,0.390563725490196,0.2919117647058823,0.48664215686274503,30.073529411764707,36.455882352941174
openstack/networking-vsphere,75,72,0.11501834215167546,0.11096694583557327,0.043333333333333335,0.03333333333333333,0.10222222222222221,0.10222222222222221,0.15555555555555556,0.15111111111111108,0.21244444444444444,0.22311111111111112,0.28288888888888897,0.29177777777777775,39.17333333333333,57.56,0.11286632863021749,0.10864612413427771,0.03819444444444445,0.027777777777777776,0.09953703703703703,0.09953703703703703,0.15509259259259256,0.15046296296296294,0.21435185185185185,0.22546296296296298,0.28773148148148153,0.2969907407407408,40.541666666666664,59.69444444444444
openstack/monasca-thresh,13,7,0.05371794871794871,0.043141025641025635,0.0,0.0,0.057692307692307696,0.019230769230769232,0.07692307692307693,0.057692307692307696,0.16923076923076924,0.0923076923076923,0.16923076923076924,0.16923076923076924,29.153846153846153,32.38461538461539,0.09976190476190475,0.08011904761904762,0.0,0.0,0.10714285714285714,0.03571428571428571,0.14285714285714285,0.10714285714285714,0.31428571428571433,0.17142857142857143,0.31428571428571433,0.31428571428571433,51.42857142857143,57.42857142857143
openstack-infra/infra-manual,110,107,0.08377942427942427,0.07240184453227931,0.0212987012987013,0.0018181818181818182,0.05538961038961039,0.03590909090909091,0.13402597402597405,0.14818181818181822,0.18978354978354975,0.18948051948051947,0.23190476190476195,0.23205627705627707,22.89090909090909,49.63636363636363,0.08612838010034271,0.0744318027901937,0.0218958611481976,0.001869158878504673,0.056942590120160216,0.03691588785046729,0.13778371161548733,0.1523364485981309,0.1951045838896306,0.19479305740987982,0.2384067645749889,0.23856252781486428,23.42056074766355,50.91588785046729
openstack/kingbird,44,41,0.3631854256854257,0.4010139661925377,0.2034090909090909,0.21098484848484847,0.4439393939393939,0.459090909090909,0.531060606060606,0.5916666666666667,0.5740800865800865,0.6701298701298701,0.5740800865800865,0.6885281385281385,24.113636363636363,32.13636363636363,0.3409794812233837,0.38157596371882097,0.16951219512195118,0.1776422764227642,0.42764227642276437,0.4439024390243903,0.5211382113821138,0.5861788617886179,0.5673054587688734,0.6703832752613241,0.5673054587688734,0.6901277584204413,25.682926829268293,34.292682926829265
openstack/rally,671,661,0.22903723123655295,0.23192352636427305,0.15892995892995895,0.12459953525527309,0.23920746830582887,0.235588136817645,0.28401562008119374,0.30862943977698076,0.3245088700006733,0.3717801779277189,0.3561111020127415,0.4379967027508003,35.05365126676602,151.8822652757079,0.2269046628740197,0.22983462358612294,0.1557367661754954,0.12088697149211539,0.23722876132104562,0.23355467443969716,0.2827147973895326,0.307700989546678,0.3238206532079453,0.37180710951512763,0.35590098252730634,0.43902539719483663,35.54765506807867,154.14372163388805
openstack/puppet-cinder,166,141,0.22574998455989811,0.22938106567499827,0.13757888697647733,0.14510900745840502,0.2514343086632243,0.23558519793459554,0.298522662076879,0.2813683304647161,0.3443057946069994,0.32705106138841084,0.3694061962134251,0.3974899598393574,12.512048192771084,23.042168674698797,0.21944088016744515,0.2235384650263574,0.1317122593718338,0.14057750759878418,0.24447821681864237,0.2258189800742992,0.2857311719013847,0.2655352921310369,0.3360857818304626,0.3157716987504222,0.3656366092536305,0.39869976359338066,14.170212765957446,26.56737588652482
