name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
openstack/wsme,974,737,649,58,104,51,13.76923076923077,12.25,40,29.075,25.125,3.5,2.980769230769231,6.225,4.875
openstack/daisycloud-core,2527,754,499,247,491,47,3.934826883910387,2.454175152749491,224,7.035714285714286,3.7901785714285716,1.8615071283095723,1.4725050916496945,2.7857142857142856,1.9330357142857142
openstack/tempest,42374,12007,6318,5689,1121,1120,15.002676181980375,2.52007136485281,801,20.5605493133583,3.091136079900125,8.656556645851918,2.1650312221231043,11.700374531835205,2.6154806491885143
openstack/openstack-helm,8252,1937,1025,779,1025,131,7.538536585365853,2.530731707317073,729,10.128943758573389,3.0877914951989025,2.6809756097560977,1.3697560975609757,3.344307270233196,1.5006858710562414
openstack/cinder-specs,2137,460,272,188,186,187,2.7419354838709675,1.89247311827957,129,3.2325581395348837,2.007751937984496,2.4946236559139785,1.7526881720430108,2.9224806201550386,1.8527131782945736
openstack/monasca-ceilometer,405,137,98,32,55,47,4.0,2.9272727272727272,29,5.896551724137931,3.8620689655172415,3.1272727272727274,2.4909090909090907,4.620689655172414,3.413793103448276
openstack/zaqar,8225,2404,1474,925,521,230,11.009596928982726,2.6641074856046063,353,15.702549575070822,3.3852691218130313,5.520153550863723,2.074856046065259,7.609065155807365,2.5240793201133145
openstack/cyborg-specs,3,2,2,0,47,2,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
openstack/ironic-specs,3461,551,340,211,293,151,2.856655290102389,1.8600682593856654,198,3.51010101010101,2.0353535353535355,2.348122866894198,1.651877133105802,2.813131313131313,1.7828282828282829
openstack/openstack-ansible-os_cloudkitty,266,164,143,21,63,26,4.650793650793651,4.079365079365079,23,8.91304347826087,7.3478260869565215,2.6825396825396823,2.4444444444444446,4.260869565217392,3.608695652173913
openstack/charm-swift-storage,631,507,182,89,322,49,6.857142857142857,2.8322981366459627,174,11.21264367816092,3.764367816091954,3.5745341614906834,1.9596273291925466,5.258620689655173,2.2701149425287355
openstack/oslo.tools,268,245,191,54,35,69,3.142857142857143,2.7142857142857144,10,5.7,4.2,2.657142857142857,2.342857142857143,4.6,3.5
openstack/ironic-lib,3447,2953,1771,1181,49,229,13.285714285714286,6.469387755102041,28,22.035714285714285,10.107142857142858,6.36734693877551,3.2653061224489797,10.0,4.571428571428571
openstack/monasca-statsd,172,80,67,13,27,35,5.148148148148148,4.592592592592593,9,9.333333333333334,7.666666666666667,3.6296296296296298,3.2222222222222223,5.777777777777778,4.555555555555555
openstack/openstack-ansible-os_tempest,834,361,288,73,61,58,7.721311475409836,6.016393442622951,31,13.709677419354838,10.35483870967742,3.8360655737704916,3.180327868852459,6.32258064516129,5.032258064516129
openstack/puppet-openstacklib,926,298,224,74,117,73,4.0,2.923076923076923,45,8.0,5.2,2.7264957264957266,2.1196581196581197,5.022222222222222,3.4444444444444446
openstack/neutron-tempest-plugin,879,601,303,292,122,109,6.426229508196721,2.0737704918032787,79,9.126582278481013,2.4050632911392404,4.811475409836065,1.5819672131147542,6.746835443037975,1.759493670886076
openstack/aodh,6273,4814,2796,2005,246,365,16.43089430894309,5.186991869918699,167,23.461077844311376,6.8982035928143715,7.353658536585366,2.707317073170732,10.263473053892216,3.4191616766467066
openstack/puppet-mistral,534,238,182,56,111,42,3.891891891891892,3.108108108108108,34,8.882352941176471,6.323529411764706,2.5765765765765765,2.2072072072072073,4.911764705882353,3.7058823529411766
